Address,Town,DOR_Code,Total_Area,Year_Built,Remodel_Year,Quality,Condition,Architecture,Bedrooms,Bathrooms,Total_Rooms,Foundation,Garage_Stalls,Land_Value,Improvements_Value,Permanent_Crop_Value,Total_Value,Total_Acres,Data_Link,,,
8817 W GREENWOOD RD,SPOKANE,11 - Residential - Single Family,990,1930,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,35625,144487,0,180112,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=912213&parcelNumber=108150055120003&typeID=1,,,
202 TRAPPER RD,GARFIELD,11 - Residential - Single Family,1680,1984,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,17388,162725,0,180113,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=936947&parcelNumber=200004517014290&typeID=1,,,
125 SE HIGH ST,PULLMAN,11 - Residential - Single Family,1568,2019,,3.0 - Average,4.0 - Good,Modular,3,2,3,Concrete,,17388,162776,0,180164,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=936853&parcelNumber=200004516274493&typeID=1,,,
PO BOX 412,PALOUSE,11 - Residential - Single Family,2556,1910,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,1,31970,148260,0,180230,0.3191,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911068&parcelNumber=107210000010000&typeID=1,,,
3544 SEQUIM-DUNGENESS WAY,SEQUIM,11 - Residential - Single Family,1996,1899,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,43125,137183,0,180308,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911886&parcelNumber=108150029020000&typeID=1,,,
328 NW CLEVELAND STREET,PULLMAN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,56250,124067,0,180317,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914604&parcelNumber=110550010140000&typeID=1,,,
PO BOX 3,ST JOHN,83 - Resource - Agriculture Current Use,1980,1925,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,105700,74767,0,180467,160,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=923958&parcelNumber=200003919263000&typeID=1,,,
918 N PARK ST,COLFAX,11 - Residential - Single Family,1640,1896,,3.5 - Average/Good,3.0 - Average,Conventional,5,1,,Concrete,,2875,177712,0,180587,0.1148,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908150&parcelNumber=101300001270000&typeID=1,,,
PO BOX 81,PALOUSE,11 - Residential - Single Family,2142,1900,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,23000,157596,0,180596,0.2295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944572&parcelNumber=107800011070000&typeID=1,,,
6091 PALOUSE-ALBION RD,PULLMAN,11 - Residential - Single Family,2082,1964,,3.0 - Average,3.0 - Average,Conventional,6,3,,Concrete,,23414,157206,0,180620,3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932797&parcelNumber=200004415013790&typeID=1,,,
740 SE HIGH ST,PULLMAN,11 - Residential - Single Family,854,1936,,3.5 - Average/Good,3.0 - Average,Conventional,2,1,,Concrete,,45750,134918,0,180668,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=916582&parcelNumber=112700007050000&typeID=1,,,
717 W SPRAGUE SUITE 800,SPOKANE,83 - Resource - Agriculture Current Use,1831,1914,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,130280,50391,0,180671,80,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=928845&parcelNumber=200004219102901&typeID=1,,,
430 E CANNON ST,PALOUSE,11 - Residential - Single Family,1522,1900,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,28750,151952,0,180702,0.2869,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944590&parcelNumber=107850020070001&typeID=1,,,
2015 6TH AVE 228 B,CLARKSTON,11 - Residential - Single Family,1792,1951,,3.0 - Average,3.0 - Average,Conventional,4,3,,Concrete,,14260,166466,0,180726,0.22405,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908589&parcelNumber=101500001710000&typeID=1,,,
PO BOX 216,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,38295,142685,0,180980,0.7644,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920895&parcelNumber=126500005000000&typeID=1,,,
,,11 - Residential - Single Family,1012,1915,,3.0 - Average,3.0 - Average,Conventional,2,1,6,Concrete,0,46950,134041,0,180991,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=912079&parcelNumber=108150046150000&typeID=1,,,
2602 CASHUP RD,THORNTON,11 - Residential - Single Family,1810,1948,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,20148,160846,0,180994,4,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=931195&parcelNumber=200004318191290&typeID=1,,,
1725 ARLINGTON BLVD,EL CERRITO,11 - Residential - Single Family,1967,1895,,4.0 - Good,4.0 - Good,Conventional,5,2,,Concrete,,23438,157570,0,181008,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911937&parcelNumber=108150034040002&typeID=1,,,
10474 COLBY CANYON DR,HIGHLANDS RANCH,11 - Residential - Single Family,1758,2008,,3.5 - Average/Good,3.5 - Average/Good,None,None,None,None,None,None,20000,161035,0,181035,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914657&parcelNumber=110640002090000&typeID=1,,,
1272 SW LOST TRAIL DR,PULLMAN,11 - Residential - Single Family,1758,2008,,3.5 - Average/Good,3.5 - Average/Good,None,None,None,None,None,None,20000,161035,0,181035,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914656&parcelNumber=110640002080000&typeID=1,,,
112 FOUNTAIN DR,GELN CARBON,11 - Residential - Single Family,1758,2008,,3.5 - Average/Good,3.5 - Average/Good,None,None,None,None,None,None,20000,161035,0,181035,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914654&parcelNumber=110640002060000&typeID=1,,,
1250 SW LOST TRAIL DR,PULLMAN,11 - Residential - Single Family,1758,2008,,3.5 - Average/Good,3.5 - Average/Good,None,None,None,None,None,None,20000,161035,0,181035,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914653&parcelNumber=110640002050000&typeID=1,,,
703 N RAMSEY,TEKOA,11 - Residential - Single Family,1824,1925,,3.5 - Average/Good,3.0 - Average,Conventional,3,2,,Concrete,,17250,163808,0,181058,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919856&parcelNumber=117450017010000&typeID=1,,,
C/O DALE DECHENNE,BOZEMAN,11 - Residential - Single Family,2052,1893,,3.0 - Average,,&nbsp;,2,2,,&nbsp;,,24840,156293,0,181133,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911940&parcelNumber=108150034060000&typeID=1,,,
PO BOX 124,COLFAX,11 - Residential - Single Family,1152,1973,,3.0 - Average,4.0 - Good,Conventional,3,3,,Concrete,,7130,174020,0,181150,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940448&parcelNumber=802050000000121&typeID=1,,,
430 SE HILL STREET,PULLMAN,11 - Residential - Single Family,980,1937,,3.5 - Average/Good,3.0 - Average,Conventional,3,2,2,Concrete,1,45000,136158,0,181158,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911905&parcelNumber=108150030040000&typeID=1,,,
225 S. RIVER RD,PALOUSE,11 - Residential - Single Family,1248,1910,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,46000,135263,0,181263,0.4591,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911157&parcelNumber=107350002040002&typeID=1,,,
1830 NW VENTURA DRIVE,PULLMAN,11 - Residential - Single Family,1011,1994,,3.5 - Average/Good,3.5 - Average/Good,None,None,None,None,None,None,28050,153230,0,181280,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=917846&parcelNumber=114800000040000&typeID=1,,,
YVONNE BERLINER,GARFIELD,11 - Residential - Single Family,1884,1976,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,12650,168814,0,181464,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909667&parcelNumber=104200004080000&typeID=1,,,
,,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,173480,8030,0,181510,156,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=926604&parcelNumber=200004117164900&typeID=1,,,
TODD MITZIMBERG,GARFIELD,18 - Residential - All other,1760,1990,,1.0 - Low,3.0 - Average,None,None,None,None,None,None,12650,168868,0,181518,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909824&parcelNumber=104500063120000&typeID=1,,,
906 S EAST STREET,COLFAX,11 - Residential - Single Family,1764,1885,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,17595,163932,0,181527,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907558&parcelNumber=100400051100003&typeID=1,,,
754 LANKY ROAD,COLFAX,83 - Resource - Agriculture Current Use,1444,2012,,3.0 - Average,3.0 - Average,Log Home,2,2,,Concrete,,16968,164635,0,181603,16.4,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933367&parcelNumber=200004416201490&typeID=1,,,
501 PALOUSE COVE RD,PALOUSE,83 - Resource - Agriculture Current Use,1390,1947,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,27440,154192,0,181632,6,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942216&parcelNumber=826800000000010&typeID=1,,,
504 N MILL,COLFAX,11 - Residential - Single Family,2780,1914,,3.0 - Average,3.0 - Average,Conventional,6,1,,Concrete,,14375,167263,0,181638,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940391&parcelNumber=802000000000112&typeID=1,,,
1911 N CEDAR ST,COLFAX,11 - Residential - Single Family,1456,1964,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,2,34270,147422,0,181692,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908417&parcelNumber=101350039080000&typeID=1,,,
PO BOX 194,OAKESDALE,11 - Residential - Single Family,1520,1979,,3.0 - Average,3.0 - Average,Conventional,3,3,,Concrete,2,12282,169481,0,181763,0.3489,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911022&parcelNumber=106800004050000&typeID=1,,,
608 WHEATLAND COURT,UNIONTOWN,11 - Residential - Single Family,1292,2013,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,2,28750,153050,0,181800,0.1564,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920463&parcelNumber=118370002070000&typeID=1,,,
PO BOX 153,UNIONTOWN,83 - Resource - Agriculture Current Use,2058,1918,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,95910,85895,0,181805,60.5,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938238&parcelNumber=200004612173901&typeID=1,,,
PO BOX 348,OAKESDALE,11 - Residential - Single Family,1138,1996,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,9056,172832,0,181888,0.241,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911029&parcelNumber=106850004020000&typeID=1,,,
3103 STALEY RD,PULLMAN,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,79660,102258,0,181918,73,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=929755&parcelNumber=200004314363500&typeID=1,,,
PO OX 84,PALOUSE,11 - Residential - Single Family,2068,1915,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,2,7475,174455,0,181930,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911426&parcelNumber=107650005030000&typeID=1,,,
UBS FARMLAND INVESTORS LLC,HARTFORD,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,136440,45500,0,181940,81,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932781&parcelNumber=200004414353800&typeID=1,,,
607 WHEATLAND COURT,UNIONTOWN,11 - Residential - Single Family,1294,2013,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,2,28750,153218,0,181968,0.1591,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920460&parcelNumber=118370002040000&typeID=1,,,
5671 DEWEY RD,LAMONT,83 - Resource - Agriculture Current Use,2112,1947,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,2,11280,170689,0,181969,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=925607&parcelNumber=200004020162489&typeID=1,,,
PO BOX 62,UNIONTOWN,11 - Residential - Single Family,2104,1968,,3.0 - Average,3.0 - Average,Conventional,2,2,,Concrete,2,11500,170545,0,182045,1.26,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920444&parcelNumber=118350001040000&typeID=1,,,
608 S LAKE STREET,COLFAX,11 - Residential - Single Family,2320,1903,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,13685,168368,0,182053,0.1951,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907425&parcelNumber=100400039040000&typeID=1,,,
1321 CUTLER-LAUTENSCHLAGER RD,ENDICOTT,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,165260,16800,0,182060,156,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=928320&parcelNumber=200004217182900&typeID=1,,,
,,83 - Resource - Agriculture Current Use,1888,1954,,3.0 - Average,3.0 - Average,&nbsp;,4,2,,&nbsp;,,12480,169607,0,182087,4,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942375&parcelNumber=832654117320026&typeID=1,,,
235 SE DEXTER ST,PULLMAN,11 - Residential - Single Family,884,1928,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,1,56250,125840,0,182090,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=913639&parcelNumber=109350001060000&typeID=1,,,
101 S CRYSTAL STREET,LACORSSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,2243,179901,0,182144,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909956&parcelNumber=104950007020000&typeID=1,,,
C/O NANCY PIERSON,SAN JOSE,11 - Residential - Single Family,2256,1946,,3.0 - Average,3.0 - Average,Conventional,3,3,,Concrete,,10005,172158,0,182163,0.1655,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944873&parcelNumber=100400054060001&typeID=1,,,
281 NW IRON EAGLE LN,PULLMAN,11 - Residential - Single Family,743,1948,,3.0 - Average,3.0 - Average,Bungalow,2,1,3,Concrete,,40688,141501,0,182189,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=917547&parcelNumber=114100000320000&typeID=1,,,
9002 JOHNSON RD,COLTON,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,142200,40000,0,182200,79,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935445&parcelNumber=200004513101790&typeID=1,,,
7551 DRY CREEK ROAD,GARFIELD,83 - Resource - Agriculture Current Use,3255,1909,2002,3.0 - Average,3.0 - Average,Conventional,6,2,,Concrete,2,29370,152834,0,182204,9,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933654&parcelNumber=200004417093890&typeID=1,,,
ANITA HORNBACK,PULLMAN,11 - Residential - Single Family,987,1909,,3.0 - Average,3.0 - Average,Conventional,2,1,5,Concrete,1,35250,146964,0,182214,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=916439&parcelNumber=112600006170001&typeID=1,,,
PO BOX 1001,TEKOA,11 - Residential - Single Family,1474,1930,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,3450,178822,0,182272,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919639&parcelNumber=117300006010000&typeID=1,,,
752 KITZMILLER RD,PULLMAN,11 - Residential - Single Family,1248,1978,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,2,34638,147734,0,182372,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=936524&parcelNumber=200004515291902&typeID=1,,,
PO BOX 101,COLTON,11 - Residential - Single Family,1056,1954,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,25013,157360,0,182373,0.2496,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944190&parcelNumber=102350007110000&typeID=1,,,
100 E CHURCH,PALOUSE,11 - Residential - Single Family,969,1948,,3.5 - Average/Good,3.0 - Average,Conventional,2,1,,Concrete,,10350,172118,0,182468,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911387&parcelNumber=107500014010001&typeID=1,,,
1701 CASHUP FLAT RD,THORNTON,11 - Residential - Single Family,2276,1899,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,2,36423,146089,0,182512,2.94,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=931183&parcelNumber=200004318174390&typeID=1,,,
1502 OLD MOSCOW RD,PULLMAN,11 - Residential - Single Family,1500,1973,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,27278,155422,0,182700,3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935941&parcelNumber=200004514103319&typeID=1,,,
C/O TRICIA AUNE,LACROSSE,11 - Residential - Single Family,1581,2012,,3.0 - Average,3.0 - Average,Conventional,3,2,5,Concrete,2,8050,174732,0,182782,0.0803,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942557&parcelNumber=101350043040001&typeID=1,,,
PO BOX 27,PALOUSE,11 - Residential - Single Family,1694,1940,,3.5 - Average/Good,3.0 - Average,Conventional,3,2,,Concrete,2,13340,169507,0,182847,0.1331,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944472&parcelNumber=107250013070001&typeID=1,,,
451 COUNTRY CLUB RD,PULLMAN,11 - Residential - Single Family,3800,1900,,3.0 - Average,3.0 - Average,Conventional,4,3,,Concrete,,57684,125181,0,182865,12.34,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932539&parcelNumber=200004414123903&typeID=1,,,
,,83 - Resource - Agriculture Current Use,1456,1981,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,2,26000,156876,0,182876,10,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942200&parcelNumber=826750000000019&typeID=1,,,
12360 N. CAVANAUGH DR,RATHDRUM,11 - Residential - Single Family,689,1948,,4.0 - Good,3.0 - Average,&nbsp;,2,1,,Concrete,,22315,160588,0,182903,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942190&parcelNumber=825000000000016&typeID=1,,,
108551 SR 26,LACROSSE,11 - Residential - Single Family,2408,1927,,3.0 - Average,3.0 - Average,Conventional,5,1,,Stone,,12972,170102,0,183074,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=924484&parcelNumber=200004015082290&typeID=1,,,
52 RON DRUFFEL RD,COLTON,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,165500,17600,0,183100,117,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=935481&parcelNumber=200004513133700&typeID=1,,,
1352 GLENWOOD RD,GARFIELD,11 - Residential - Single Family,1944,1956,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,21528,161575,0,183103,3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933800&parcelNumber=200004417204839&typeID=1,,,
202 E JAMES ST,COLFAX,11 - Residential - Single Family,2681,1938,,3.0 - Average,3.0 - Average,Conventional,6,3,,Concrete,,7130,176014,0,183144,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907553&parcelNumber=100400051010000&typeID=1,,,
205 E HOUGHTON STREET,PALOUSE,11 - Residential - Single Family,1568,1965,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,34500,148652,0,183152,0.3443,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944469&parcelNumber=107250012030000&typeID=1,,,
5202 ED HAMILTON RD,ENDICOTT,83 - Resource - Agriculture Current Use,2456,1880,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,17520,165657,0,183177,3,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=927982&parcelNumber=200004216183290&typeID=1,,,
626 E VALLEYVIEW,COLFAX,11 - Residential - Single Family,2025,1976,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,20010,163177,0,183187,0.5133,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908566&parcelNumber=101500001470001&typeID=1,,,
,,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,182400,924,0,183324,160,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932263&parcelNumber=200004413221000&typeID=1,,,
1101 TAUFEN ROAD,UNIONTOWN,83 - Resource - Agriculture Current Use,2156,1913,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,,22320,161034,0,183354,6,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943763&parcelNumber=200004512231290&typeID=1,,,
103 GASHOUS RD,ROSALIA,83 - Resource - Agriculture Current Use,1594,1904,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,,10776,172594,0,183370,6.8,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=931765&parcelNumber=200004320087590&typeID=1,,,
1602 CEDAR ST,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,20010,163368,0,183378,0.218,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908319&parcelNumber=101350030160000&typeID=1,,,
418 S SUMMIT AVE,ROSALIA,11 - Residential - Single Family,1344,1979,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,2,13800,169594,0,183394,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918764&parcelNumber=115800005060002&typeID=1,,,
702 S CRESTVIEW DR,COLFAX,11 - Residential - Single Family,1296,1974,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,18630,164787,0,183417,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907913&parcelNumber=100850001120000&typeID=1,,,
110 E HOUGHTON STREET,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,11500,171923,0,183423,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911075&parcelNumber=107250006080000&typeID=1,,,
P O BOX 136,OAKESDALE,18 - Residential - All other,2724,1928,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,2,48300,135128,0,183428,1.76,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910764&parcelNumber=106450003120000&typeID=1,,,
PO BOX 463,GARFIELD,82 - Resource - Agriculture Activities,2666,1947,,3.0 - Average,3.0 - Average,Conventional,3,3,,Concrete,,18630,164815,0,183445,1.6,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937325&parcelNumber=200004518071219&typeID=1,,,
5732 SHIELDS RD,COLFAX,11 - Residential - Single Family,2055,1905,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,62100,121368,0,183468,12,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=928396&parcelNumber=200004217271790&typeID=1,,,
1301 STAN WILCOX RD,PALOUSE,83 - Resource - Agriculture Current Use,2070,1936,,3.5 - Average/Good,3.0 - Average,Conventional,3,3,,Concrete,,20754,162721,0,183475,4.133,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=938897&parcelNumber=200004617301390&typeID=1,,,
PO BOX 180,COLTON,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,31050,152525,0,183575,0.2295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940638&parcelNumber=802600000000042&typeID=1,,,
235 NW ROBERT ST,PULLMAN,11 - Residential - Single Family,972,1971,,3.0 - Average,3.0 - Average,&nbsp;,4,2,,&nbsp;,,49500,134077,0,183577,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=914023&parcelNumber=109650027070002&typeID=1,,,
103 W PARK ST,PALOUSE,11 - Residential - Single Family,1364,2011,,2.0 - Fair,2.0 - Fair,Conventional,3,2,5,Concrete,2,49450,134129,0,183579,0.2497,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941055&parcelNumber=807950000000196&typeID=1,,,
852 BRAYTON ROAD,PULLMAN,11 - Residential - Single Family,1400,1963,,3.0 - Average,3.0 - Average,Conventional,3,3,,Concrete,,25208,158404,0,183612,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933045&parcelNumber=200004415261590&typeID=1,,,
10501 SR 272,PALOUSE,11 - Residential - Single Family,3061,1898,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,17388,166226,0,183614,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937218&parcelNumber=200004517304901&typeID=1,,,
404 EAST E STREET,ROSALIA,11 - Residential - Single Family,2024,1908,,3.0 - Average,3.0 - Average,Conventional,3,1,4,Concrete,3,4600,179029,0,183629,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918915&parcelNumber=116100006010000&typeID=1,,,
PO BOX 51,ST JOHN,11 - Residential - Single Family,1749,1979,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,11845,171834,0,183679,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919443&parcelNumber=116950000110000&typeID=1,,,
PO BOX 184,COLTON,11 - Residential - Single Family,2011,1923,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,1,25875,157819,0,183694,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944172&parcelNumber=102350005030002&typeID=1,,,
610 FOUNTAIN ST,COLTON,11 - Residential - Single Family,1726,1916,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,33350,150396,0,183746,0.3328,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908725&parcelNumber=102350010020000&typeID=1,,,
500 NORTH MYOTT,PALOUSE,11 - Residential - Single Family,1550,1891,,3.5 - Average/Good,3.0 - Average,Conventional,3,2,,Concrete,,23000,160746,0,183746,0.4591,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944521&parcelNumber=107350008060000&typeID=1,,,
